model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
4Q | bert_adoption_dummy | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, momentum",industry_fe + yq,gvkey,26727,4183,8,ok_clustered,0.0034903543382966973,bert_adoption_dummy,-0.05414649719588842,0.02185872147629934,-2.4771118134515597,0.013245040077025242
4Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12846707139808267,leverage,0.4229842400453656,0.2388588549536632,1.7708543404322243,0.07658492682368821
4Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12846707139808267,profitability,0.0011953267836634183,0.16622660356849736,0.007190947525862534,0.9942625034390095
4Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12846707139808267,investment,0.053877929659407645,0.05224034138051246,1.0313471971204626,0.302378032922359
4Q | bert_adoption_log_count | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12846707139808267,momentum,-0.28895905444751474,0.11143837374360868,-2.5929941791176523,0.009514438090100882
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey,26727,4183,8,ok_clustered,0.003450686537848524,bert_adoption_per_1k_words,-0.08775069322510413,0.04648675216025076,-1.887649473179087,0.05907302369140212
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey,26727,4183,8,ok_clustered,0.003450686537848524,size,-0.014436085702504172,0.006796467747494042,-2.124057118909594,0.03366536761238295
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey,26727,4183,8,ok_clustered,0.003450686537848524,bm,0.006209487586914405,0.03636638624937251,0.17074799635945537,0.8644219213212926
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey,26727,4183,8,ok_clustered,0.003450686537848524,momentum,-0.044980486294140726,0.007975150066190342,-5.640080239346205,1.699709392999242e-08
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.003450686537848524,bert_adoption_per_1k_words,-0.08775069322510413,0.03378371714025354,-2.597425643270869,0.009392545357676132
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.003450686537848524,size,-0.014436085702504172,0.030955092237566265,-0.46635576439940074,0.6409608692973056
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.003450686537848524,bm,0.006209487586914405,0.030043574726199385,0.20668271480688497,0.8362576575156999
4Q | bert_adoption_per_1k_words | minimal_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",industry_fe + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.003450686537848524,momentum,-0.044980486294140726,0.018437901919976893,-2.439566415385135,0.014704899362826368
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey,26727,4183,8,ok_clustered,0.12742191102641243,bert_adoption_per_1k_words,-0.07096650623972295,0.06657833007333934,-1.0659099764375257,0.2864643387310396
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey,26727,4183,8,ok_clustered,0.12742191102641243,size,-0.7376606305678866,0.15668101645330196,-4.708040879909295,2.5010895018437443e-06
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey,26727,4183,8,ok_clustered,0.12742191102641243,bm,0.11276468066688729,0.10074951056052536,1.1192578508770403,0.26303015169165667
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey,26727,4183,8,ok_clustered,0.12742191102641243,momentum,-0.2889647319094875,0.03535775053179369,-8.172599431902501,3.018147693098328e-16
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.12742191102641243,bert_adoption_per_1k_words,-0.07096650623972295,0.03753764902736185,-1.890542111148043,0.058685494087242655
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.12742191102641243,size,-0.7376606305678866,0.2547607906201911,-2.895502988399908,0.0037855142540989873
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.12742191102641243,bm,0.11276468066688729,0.09128819569821661,1.2352602634372172,0.21673365739604078
4Q | bert_adoption_per_1k_words | minimal_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, momentum",gvkey + yq,gvkey + yq,26727,4183,8,ok_two_way_clustered,0.12742191102641243,momentum,-0.2889647319094875,0.11033401915936455,-2.618999417506144,0.008818809809615491
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,bert_adoption_per_1k_words,-0.08307149835013762,0.04765755590074762,-1.743091872422993,0.08131756808994808
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,size,-0.020404359938435465,0.0066082578686349975,-3.087706373457577,0.002017076628780584
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,bm,0.022271241172293794,0.03603946900833722,0.6179680718143117,0.5365963853565467
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,leverage,0.2312785414190055,0.06534535557284635,3.5393263896342027,0.00040114953440881386
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,profitability,0.045752549777549334,0.0753631466314862,0.6070944728631359,0.5437882179928051
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,investment,0.019404849340039873,0.01592759075533275,1.218316670620313,0.22310365742476346
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054230028941359976,momentum,-0.04580639772493373,0.008233118401639972,-5.563675328148986,2.641512053005154e-08
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,bert_adoption_per_1k_words,-0.08307149835013762,0.03503161925268159,-2.3713291055987566,0.017724241089475335
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,size,-0.020404359938435465,0.02635415098485965,-0.7742370433468977,0.4387906260289244
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,bm,0.022271241172293794,0.0335673696046978,0.6634788913926966,0.5070238942143261
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,leverage,0.2312785414190055,0.10622811436729342,2.177187675753509,0.02946656746430283
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,profitability,0.045752549777549334,0.13012690074833672,0.35159947339431386,0.7251386601890174
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,investment,0.019404849340039873,0.04495924869721362,0.4316097333103901,0.6660250830689216
4Q | bert_adoption_per_1k_words | baseline_controls | industry_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.0054230028941359976,momentum,-0.04580639772493373,0.020201147282470508,-2.2675146655993204,0.023358804036447915
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,bert_adoption_per_1k_words,-0.07331303025104022,0.06752388156344886,-1.0857348326777034,0.277596325199744
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,size,-0.7905773117280901,0.15300098397825546,-5.167138741019124,2.3770481527113965e-07
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,bm,0.13486072668165902,0.10283719507791163,1.3114002825484077,0.18972256344125216
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,leverage,0.42368461159747084,0.26852800186798004,1.5778042090588842,0.11461059658000072
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,profitability,0.001809034586019904,0.11389563607476395,0.01588326513960911,0.9873275208037277
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,investment,0.0537888841936241,0.03689684137309059,1.4578181272951218,0.1448906803664065
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12849197206711183,momentum,-0.28896703943931495,0.035547120096775436,-8.129126597390032,4.3239454957915156e-16
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,bert_adoption_per_1k_words,-0.07331303025104022,0.03970589330758498,-1.8464017339470185,0.06483389564839064
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,size,-0.7905773117280901,0.32492567958999813,-2.4331019718898994,0.014970084257324911
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,bm,0.13486072668165902,0.09573078103137186,1.4087498840886288,0.1589091388142675
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,leverage,0.42368461159747084,0.2390191490048873,1.7725969377826194,0.07629551951828002
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,profitability,0.001809034586019904,0.16660350447259537,0.010858322528968605,0.9913364823409491
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,investment,0.0537888841936241,0.05222279342933712,1.0299886440660448,0.30301533639586586
4Q | bert_adoption_per_1k_words | baseline_controls | firm_quarter_FE | firm_quarter_two_way_cluster,ret_future_4q,bert_adoption_per_1k_words,"size, bm, leverage, profitability, investment, momentum",gvkey + yq,gvkey + yq,26599,4133,8,ok_two_way_clustered,0.12849197206711183,momentum,-0.28896703943931495,0.11143260808163968,-2.5932000014538557,0.009508745611563089
